,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
206,./scikit-learn/sklearn/datasets/tests/data/openml/id_40589/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
207,./scikit-learn/sklearn/datasets/tests/data/openml/id_1119/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
208,./scikit-learn/sklearn/datasets/tests/data/openml/id_40966/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
209,./scikit-learn/sklearn/datasets/tests/data/openml/id_3/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
210,./scikit-learn/sklearn/datasets/tests/data/openml/id_61/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
211,./scikit-learn/sklearn/datasets/tests/data/openml/id_40675/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
212,./scikit-learn/sklearn/datasets/tests/data/openml/id_42074/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
213,./scikit-learn/sklearn/datasets/tests/data/openml/id_2/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
214,./scikit-learn/sklearn/datasets/images/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
215,./scikit-learn/sklearn/datasets/data/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
216,./scikit-learn/sklearn/datasets/descr/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
217,./scikit-learn/sklearn/_loss/__init__.py,28,0,2,0,0,0.0,0.0,0,0,1,3,0
220,./scikit-learn/sklearn/_loss/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
221,./scikit-learn/sklearn/_loss/tests/test_link.py,94,11,17,4,0,1.0,0.0,0,0,9,9,0
223,./scikit-learn/sklearn/tree/__init__.py,22,0,2,0,0,0.0,0.0,0,0,1,3,1
227,./scikit-learn/sklearn/tree/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
229,./scikit-learn/sklearn/tree/tests/test_reingold_tilford.py,43,6,6,2,0,1.5,0.0,0,0,5,12,0
231,./scikit-learn/sklearn/tree/tests/test_export.py,475,39,71,11,0,0.55,0.0,0,0,18,14,1
232,./scikit-learn/sklearn/manifold/__init__.py,19,0,2,0,0,0.0,0.0,0,0,1,3,1
238,./scikit-learn/sklearn/manifold/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
239,./scikit-learn/sklearn/manifold/tests/test_mds.py,63,5,24,6,0,0.5,0.0,0,0,5,8,0
240,./scikit-learn/sklearn/manifold/tests/test_isomap.py,278,32,70,16,0,2.0,0.0,0,0,17,11,0
242,./scikit-learn/sklearn/manifold/tests/test_locally_linear.py,136,19,35,7,0,0.71,0.0,0,0,5,10,0
245,./scikit-learn/sklearn/neighbors/__init__.py,40,0,2,0,0,0.0,0.0,0,0,1,3,1
255,./scikit-learn/sklearn/neighbors/tests/test_ball_tree.py,153,9,47,12,0,1.75,0.0,0,0,8,11,0
256,./scikit-learn/sklearn/neighbors/tests/test_graph.py,81,5,20,4,0,0.5,0.0,0,0,3,10,0
257,./scikit-learn/sklearn/neighbors/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
258,./scikit-learn/sklearn/neighbors/tests/test_nearest_centroid.py,127,18,34,9,0,0.22,0.0,0,0,5,10,1
261,./scikit-learn/sklearn/neighbors/tests/test_quad_tree.py,109,24,35,5,0,0.6,0.0,0,0,6,11,0
264,./scikit-learn/sklearn/neighbors/tests/test_lof.py,285,42,76,15,0,1.2,0.0,0,0,13,10,0
265,./scikit-learn/sklearn/neighbors/tests/test_neighbors_pipeline.py,212,19,44,8,0,0.0,0.0,0,0,3,9,0
266,./scikit-learn/sklearn/neighbors/tests/test_kd_tree.py,78,10,22,5,0,1.2,0.0,0,0,4,9,0
267,./scikit-learn/sklearn/metrics/__init__.py,179,0,2,0,0,0.0,0.0,0,0,1,3,1
274,./scikit-learn/sklearn/metrics/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
283,./scikit-learn/sklearn/metrics/_plot/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
289,./scikit-learn/sklearn/metrics/_plot/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
290,./scikit-learn/sklearn/metrics/_plot/tests/test_precision_recall_display.py,301,29,60,9,0,2.56,0.0,0,0,16,9,0
291,./scikit-learn/sklearn/metrics/_plot/tests/test_det_curve_display.py,87,6,19,2,0,4.0,0.0,0,0,7,9,0
292,./scikit-learn/sklearn/metrics/_plot/tests/test_predict_error_display.py,140,1,21,7,0,3.14,0.0,0,0,10,10,0
295,./scikit-learn/sklearn/metrics/_plot/tests/test_roc_curve_display.py,268,11,47,7,0,3.57,0.0,0,0,21,10,0
